scenario,test_name,total_distance,runtime_ms,tours
"scenario2","cluster_01.json",74.92,0.10,"[0, 4, 2, 3] | [0, 1]"
"scenario2","cluster_02.json",131.42,0.09,"[0, 6, 4, 5] | [0, 3, 1] | [0, 2]"
"scenario2","cluster_03.json",226.87,0.12,"[0, 5, 4] | [0, 1, 3] | [0, 6, 2]"
"scenario2","cluster_04.json",667.57,0.47,"[0, 4, 1, 3] | [0, 9, 7, 11] | [0, 12, 8] | [0, 2, 6] | [0, 10, 5]"
"scenario2","cluster_05.json",393.82,0.19,"[0, 3, 2, 1] | [0, 8, 7] | [0, 4, 5] | [0, 6]"
"scenario2","cluster_06.json",1000.25,0.80,"[0, 12, 2, 3] | [0, 18, 4, 8] | [0, 10, 17, 9] | [0, 11, 7, 13, 15] | [0, 16, 14] | [0, 1, 6] | [0, 5]"
"scenario2","cluster_07.json",538.22,0.33,"[0, 2, 5, 7] | [0, 12, 6, 8, 10] | [0, 11, 9] | [0, 3, 1] | [0, 4]"
"scenario2","cluster_08.json",129.69,0.13,"[0, 6, 2, 1, 4] | [0, 3, 5]"
"scenario2","cluster_09.json",1704.38,1.51,"[0, 26, 2, 15] | [0, 24, 4, 1] | [0, 10, 12, 8] | [0, 23, 16, 13] | [0, 21, 9, 14] | [0, 11, 25, 6] | [0, 17, 19] | [0, 7, 18, 20] | [0, 22, 3] | [0, 5]"
"scenario2","cluster_10.json",395.06,0.21,"[0, 8, 1, 4] | [0, 6, 5, 7] | [0, 3, 2]"
