scenario,test_name,total_distance,runtime_ms,tours
"scenario2","cluster_01.json",317.78,0.43,"[0, 2, 3, 5] | [0, 9, 10, 4] | [0, 6, 8] | [0, 1, 7]"
"scenario2","cluster_02.json",137.57,0.18,"[0, 6, 1, 4, 2] | [0, 5, 3]"
"scenario2","cluster_03.json",372.98,0.37,"[0, 8, 1, 3] | [0, 10, 6, 2, 7] | [0, 4, 5] | [0, 9]"
"scenario2","cluster_04.json",486.86,0.25,"[0, 4, 1, 2] | [0, 5, 3] | [0, 6]"
"scenario2","cluster_05.json",476.37,0.91,"[0, 1, 3, 9] | [0, 7, 5, 6] | [0, 16, 8, 11] | [0, 10, 12, 13] | [0, 4, 15, 2] | [0, 14]"
"scenario2","cluster_06.json",379.42,0.25,"[0, 8, 2, 7] | [0, 5, 4] | [0, 6, 3] | [0, 1]"
"scenario2","cluster_07.json",86.20,0.05,"[0, 1, 2]"
"scenario2","cluster_08.json",800.21,0.71,"[0, 8, 3, 13, 2] | [0, 5, 4, 6, 11] | [0, 14, 1, 9] | [0, 12, 7, 10] | [0, 16, 15]"
"scenario2","cluster_09.json",156.02,0.13,"[0, 1, 2, 4] | [0, 3]"
"scenario2","cluster_10.json",1608.25,2.09,"[0, 3, 8] | [0, 13, 1] | [0, 24, 7, 6] | [0, 12, 10, 16] | [0, 21, 17, 2] | [0, 25, 18, 4] | [0, 14, 23, 26] | [0, 9, 19] | [0, 15, 11, 5] | [0, 22, 20]"
