scenario,test_name,total_distance,runtime_ms,tours
"scenario2","cluster_01.json",482.44,0.56,"[0, 12, 3, 10] | [0, 2, 6, 4, 9] | [0, 5, 11, 7] | [0, 8, 1]"
"scenario2","cluster_02.json",643.11,0.50,"[0, 4, 1, 2] | [0, 12, 6, 9] | [0, 8, 10] | [0, 11, 7] | [0, 3, 5]"
"scenario2","cluster_03.json",397.73,0.32,"[0, 2, 1, 7] | [0, 8, 4, 6] | [0, 5, 3]"
"scenario2","cluster_04.json",297.95,0.30,"[0, 2, 4, 1, 6] | [0, 3, 5, 7, 8]"
"scenario2","cluster_05.json",447.76,0.57,"[0, 14, 4, 3] | [0, 13, 9] | [0, 11, 6] | [0, 7, 10, 12, 5] | [0, 1, 2] | [0, 8]"
"scenario2","cluster_06.json",681.72,1.05,"[0, 4, 2, 7, 15] | [0, 6, 17, 8] | [0, 12, 16, 10] | [0, 5, 3, 13] | [0, 11, 18] | [0, 14, 9] | [0, 1]"
"scenario2","cluster_07.json",354.14,0.27,"[0, 3, 2, 1] | [0, 8, 4, 5] | [0, 7, 6]"
"scenario2","cluster_08.json",278.52,0.24,"[0, 7, 4, 1] | [0, 2, 3, 5, 8] | [0, 6]"
"scenario2","cluster_09.json",497.58,0.54,"[0, 7, 3] | [0, 1, 12] | [0, 4, 2, 10] | [0, 11, 5, 6] | [0, 8, 9]"
"scenario2","cluster_10.json",204.94,0.11,"[0, 3, 1, 2] | [0, 4]"
