scenario,test_name,total_distance,runtime_ms,tours
"scenario2","cluster_01.json",294.98,0.22,"[0, 6, 5, 1] | [0, 10, 8, 4, 9] | [0, 7, 3] | [0, 2]"
"scenario2","cluster_02.json",683.10,1.08,"[0, 15, 17, 3] | [0, 5, 2, 1, 6] | [0, 14, 10] | [0, 18, 8] | [0, 11, 9, 12, 16] | [0, 13, 7] | [0, 4]"
"scenario2","cluster_03.json",742.73,1.12,"[0, 8, 7] | [0, 1, 5] | [0, 18, 12, 6, 9] | [0, 13, 17, 4, 11] | [0, 2, 10, 14, 15] | [0, 3, 16]"
"scenario2","cluster_04.json",70.20,0.05,"[0, 1, 2]"
"scenario2","cluster_05.json",774.40,0.44,"[0, 3, 1, 7] | [0, 2, 8, 4] | [0, 6, 9] | [0, 10, 5]"
"scenario2","cluster_06.json",749.90,0.56,"[0, 14, 4, 3, 11] | [0, 8, 7] | [0, 12, 2] | [0, 10, 9, 1] | [0, 6, 5] | [0, 13]"
"scenario2","cluster_07.json",265.91,0.18,"[0, 2, 6, 4] | [0, 5, 1] | [0, 3]"
"scenario2","cluster_08.json",747.73,0.71,"[0, 10, 7] | [0, 2, 12] | [0, 9, 8, 6] | [0, 14, 3, 5] | [0, 11, 4] | [0, 13, 1]"
"scenario2","cluster_09.json",241.89,0.17,"[0, 5, 1, 6] | [0, 2, 4] | [0, 3]"
"scenario2","cluster_10.json",276.27,0.20,"[0, 4, 5] | [0, 3, 1] | [0, 6, 2]"
