scenario,test_name,total_distance,runtime_ms,tours
"scenario2","cluster_01.json",664.25,0.34,"[0, 4, 11, 2] | [0, 8, 6, 1, 5] | [0, 10, 7, 3] | [0, 9, 12]"
"scenario2","cluster_02.json",962.86,0.51,"[0, 7, 5, 3] | [0, 6, 15] | [0, 9, 4] | [0, 10, 11, 12] | [0, 18, 8, 17] | [0, 16, 2] | [0, 13, 14] | [0, 1]"
"scenario2","cluster_03.json",425.59,0.10,"[0, 3, 2, 1] | [0, 6, 5] | [0, 4]"
"scenario2","cluster_04.json",262.27,0.15,"[0, 8, 3, 5] | [0, 2, 6, 4] | [0, 1, 7]"
"scenario2","cluster_05.json",202.89,0.10,"[0, 2, 6, 5, 3] | [0, 1, 4]"
"scenario2","cluster_06.json",194.76,0.11,"[0, 6, 3, 4] | [0, 2, 1] | [0, 5]"
"scenario2","cluster_07.json",327.71,0.11,"[0, 4, 7, 5, 3] | [0, 8, 6, 2] | [0, 1]"
"scenario2","cluster_08.json",986.96,0.50,"[0, 3, 18] | [0, 2, 11] | [0, 9, 1, 14] | [0, 17, 10, 16] | [0, 15, 13] | [0, 6, 12] | [0, 4, 5] | [0, 8, 7]"
"scenario2","cluster_09.json",67.94,0.02,"[0, 2, 1]"
"scenario2","cluster_10.json",730.21,0.60,"[0, 5, 15, 2] | [0, 3, 20, 16] | [0, 7, 6, 17] | [0, 9, 13, 12] | [0, 1, 18, 4] | [0, 19, 11, 14] | [0, 8, 10]"
