scenario,test_name,total_distance,runtime_ms,tours
"scenario2","cluster_01.json",589.95,0.44,"[0, 12, 5, 2] | [0, 3, 8, 9] | [0, 14, 6, 10, 13] | [0, 1, 4] | [0, 11, 7]"
"scenario2","cluster_02.json",377.92,0.20,"[0, 6, 2, 3] | [0, 4, 1] | [0, 5]"
"scenario2","cluster_03.json",280.42,0.48,"[0, 6, 1, 5, 7] | [0, 9, 8, 10] | [0, 2, 4] | [0, 3]"
"scenario2","cluster_04.json",922.81,1.37,"[0, 13, 16, 2, 6] | [0, 4, 19, 14] | [0, 20, 9] | [0, 17, 1] | [0, 12, 11] | [0, 8, 10] | [0, 15, 3, 5] | [0, 18, 7]"
"scenario2","cluster_05.json",263.70,0.15,"[0, 3, 1, 4] | [0, 2]"
"scenario2","cluster_06.json",493.27,0.49,"[0, 9, 3, 5] | [0, 10, 1, 8] | [0, 6, 7] | [0, 4, 2]"
"scenario2","cluster_07.json",424.71,0.47,"[0, 3, 1, 2] | [0, 9, 6, 10, 5] | [0, 7, 8] | [0, 4]"
"scenario2","cluster_08.json",451.57,0.76,"[0, 10, 5, 1, 12] | [0, 7, 2, 6, 13] | [0, 14, 3, 8, 11] | [0, 4, 9]"
"scenario2","cluster_09.json",334.80,0.35,"[0, 1, 9, 3, 8] | [0, 4, 5, 10] | [0, 6, 7] | [0, 2]"
"scenario2","cluster_10.json",318.14,0.18,"[0, 5, 3] | [0, 1, 4] | [0, 6, 2]"
