scenario,test_name,total_distance,runtime_ms,tours
"scenario1","depot_10_route_1",11.661904,8.055411,"[9, 46]"
"scenario1","depot_8_route_2",20.880613,8.055411,"[7, 71]"
"scenario1","depot_1_route_3",88.993753,8.055411,"[0, 10, 54]"
"scenario1","depot_6_route_4",154.361296,8.055411,"[5, 11, 108]"
"scenario1","depot_5_route_5",37.560004,8.055411,"[4, 12, 76]"
"scenario1","depot_9_route_6",201.357173,8.055411,"[8, 13, 65]"
"scenario1","depot_1_route_7",126.368345,8.055411,"[0, 14, 100]"
"scenario1","depot_9_route_8",100.593608,8.055411,"[8, 15, 86]"
"scenario1","depot_9_route_9",213.129413,8.055411,"[8, 16, 31]"
"scenario1","depot_9_route_10",160.447065,8.055411,"[8, 17, 81]"
"scenario1","depot_9_route_11",174.988719,8.055411,"[8, 18, 62]"
"scenario1","depot_9_route_12",113.661482,8.055411,"[8, 19, 35]"
"scenario1","depot_4_route_13",279.336341,8.055411,"[3, 20, 66]"
"scenario1","depot_4_route_14",245.046416,8.055411,"[3, 21, 53]"
"scenario1","depot_6_route_15",128.389174,8.055411,"[5, 22, 88]"
"scenario1","depot_3_route_16",94.183286,8.055411,"[2, 23, 93]"
"scenario1","depot_6_route_17",173.355105,8.055411,"[5, 24, 73]"
"scenario1","depot_9_route_18",262.103523,8.055411,"[8, 25, 39]"
"scenario1","depot_9_route_19",106.264022,8.055411,"[8, 26, 50]"
"scenario1","depot_7_route_20",69.017299,8.055411,"[6, 27, 42]"
"scenario1","depot_4_route_21",75.117837,8.055411,"[3, 28, 37]"
"scenario1","depot_3_route_22",115.142280,8.055411,"[2, 29, 55]"
"scenario1","depot_4_route_23",80.019410,8.055411,"[3, 30, 103]"
"scenario1","depot_4_route_24",174.646508,8.055411,"[3, 32, 72]"
"scenario1","depot_1_route_25",146.601041,8.055411,"[0, 33, 44]"
"scenario1","depot_8_route_26",106.096670,8.055411,"[7, 34, 57]"
"scenario1","depot_9_route_27",77.503585,8.055411,"[8, 36, 109]"
"scenario1","depot_2_route_28",70.730513,8.055411,"[1, 38, 68]"
"scenario1","depot_3_route_29",86.630460,8.055411,"[2, 40, 75]"
"scenario1","depot_3_route_30",113.220179,8.055411,"[2, 41, 60]"
"scenario1","depot_9_route_31",155.707927,8.055411,"[8, 43, 105]"
"scenario1","depot_7_route_32",65.949110,8.055411,"[6, 45, 74]"
"scenario1","depot_4_route_33",198.121043,8.055411,"[3, 47, 56]"
"scenario1","depot_9_route_34",68.904233,8.055411,"[8, 48, 80]"
"scenario1","depot_9_route_35",212.544302,8.055411,"[8, 49, 78]"
"scenario1","depot_7_route_36",153.385075,8.055411,"[6, 51, 89]"
"scenario1","depot_3_route_37",121.506301,8.055411,"[2, 52, 104]"
"scenario1","depot_6_route_38",45.551757,8.055411,"[5, 58, 99]"
"scenario1","depot_7_route_39",65.657877,8.055411,"[6, 59, 107]"
"scenario1","depot_5_route_40",45.369022,8.055411,"[4, 61, 95]"
"scenario1","depot_9_route_41",116.036781,8.055411,"[8, 63, 82]"
"scenario1","depot_7_route_42",76.522654,8.055411,"[6, 64, 98]"
"scenario1","depot_5_route_43",64.038337,8.055411,"[4, 67, 91]"
"scenario1","depot_10_route_44",19.895883,8.055411,"[9, 69, 85]"
"scenario1","depot_4_route_45",187.912862,8.055411,"[3, 70, 102]"
"scenario1","depot_10_route_46",102.029795,8.055411,"[9, 77, 106]"
"scenario1","depot_3_route_47",48.500496,8.055411,"[2, 79, 87]"
"scenario1","depot_9_route_48",202.956374,8.055411,"[8, 83, 97]"
"scenario1","depot_3_route_49",82.364234,8.055411,"[2, 84, 101]"
"scenario1","depot_9_route_50",107.780322,8.055411,"[8, 90, 96]"
"scenario1","depot_4_route_51",180.751616,8.055411,"[3, 92, 94]"
