scenario,test_name,total_distance,runtime_ms,tours
"scenario1","depot_5_route_1",27.202941,5.497114,"[4, 15]"
"scenario1","depot_8_route_2",32.557641,5.497114,"[7, 90]"
"scenario1","depot_7_route_3",18.000000,5.497114,"[6, 101]"
"scenario1","depot_6_route_4",21.260292,5.497114,"[5, 105]"
"scenario1","depot_1_route_5",56.989817,5.497114,"[0, 10, 24]"
"scenario1","depot_4_route_6",179.163505,5.497114,"[3, 11, 76]"
"scenario1","depot_4_route_7",69.913620,5.497114,"[3, 12, 100]"
"scenario1","depot_4_route_8",144.834507,5.497114,"[3, 13, 83]"
"scenario1","depot_1_route_9",168.242271,5.497114,"[0, 14, 108]"
"scenario1","depot_3_route_10",103.343416,5.497114,"[2, 16, 84]"
"scenario1","depot_3_route_11",71.588535,5.497114,"[2, 17, 107]"
"scenario1","depot_7_route_12",103.153761,5.497114,"[6, 18, 96]"
"scenario1","depot_4_route_13",52.376108,5.497114,"[3, 19, 72]"
"scenario1","depot_10_route_14",74.545326,5.497114,"[9, 20, 104]"
"scenario1","depot_5_route_15",94.633514,5.497114,"[4, 21, 29]"
"scenario1","depot_10_route_16",41.969256,5.497114,"[9, 22, 42]"
"scenario1","depot_9_route_17",147.034532,5.497114,"[8, 23, 67]"
"scenario1","depot_9_route_18",125.440303,5.497114,"[8, 25, 81]"
"scenario1","depot_3_route_19",99.953717,5.497114,"[2, 26, 74]"
"scenario1","depot_1_route_20",98.203506,5.497114,"[0, 27, 40]"
"scenario1","depot_7_route_21",66.863594,5.497114,"[6, 28, 61]"
"scenario1","depot_5_route_22",150.987450,5.497114,"[4, 30, 52]"
"scenario1","depot_9_route_23",173.918383,5.497114,"[8, 31, 71]"
"scenario1","depot_5_route_24",121.677847,5.497114,"[4, 32, 88]"
"scenario1","depot_4_route_25",138.626342,5.497114,"[3, 33, 46]"
"scenario1","depot_2_route_26",86.315946,5.497114,"[1, 34, 86]"
"scenario1","depot_5_route_27",122.131019,5.497114,"[4, 35, 94]"
"scenario1","depot_4_route_28",149.106680,5.497114,"[3, 36, 56]"
"scenario1","depot_9_route_29",73.936939,5.497114,"[8, 37, 64]"
"scenario1","depot_7_route_30",50.295117,5.497114,"[6, 38, 55]"
"scenario1","depot_5_route_31",149.046353,5.497114,"[4, 39, 70]"
"scenario1","depot_3_route_32",83.037683,5.497114,"[2, 41, 77]"
"scenario1","depot_2_route_33",15.442388,5.497114,"[1, 43, 93]"
"scenario1","depot_3_route_34",121.016683,5.497114,"[2, 44, 102]"
"scenario1","depot_10_route_35",80.575771,5.497114,"[9, 45, 92]"
"scenario1","depot_1_route_36",107.112724,5.497114,"[0, 47, 87]"
"scenario1","depot_8_route_37",108.828479,5.497114,"[7, 48, 106]"
"scenario1","depot_3_route_38",79.154637,5.497114,"[2, 49, 82]"
"scenario1","depot_2_route_39",45.422938,5.497114,"[1, 50, 79]"
"scenario1","depot_9_route_40",64.046482,5.497114,"[8, 51, 73]"
"scenario1","depot_1_route_41",112.342985,5.497114,"[0, 53, 97]"
"scenario1","depot_5_route_42",70.230541,5.497114,"[4, 54, 91]"
"scenario1","depot_5_route_43",196.648679,5.497114,"[4, 57, 78]"
"scenario1","depot_6_route_44",66.304513,5.497114,"[5, 58, 69]"
"scenario1","depot_3_route_45",105.824646,5.497114,"[2, 59, 95]"
"scenario1","depot_5_route_46",71.334379,5.497114,"[4, 60, 62]"
"scenario1","depot_5_route_47",59.698831,5.497114,"[4, 63, 65]"
"scenario1","depot_5_route_48",208.551150,5.497114,"[4, 66, 75]"
"scenario1","depot_5_route_49",78.048108,5.497114,"[4, 68, 98]"
"scenario1","depot_1_route_50",140.986966,5.497114,"[0, 80, 99]"
"scenario1","depot_3_route_51",66.498839,5.497114,"[2, 85, 103]"
"scenario1","depot_7_route_52",80.186982,5.497114,"[6, 89, 109]"
