dataset_num,cluster_first/scenario3,match_first/scenario3,ca_ilp/scenario3,ca_mis/scenario3
1,4724.620000,4592.780000,4375.121518,4616.744935
2,5126.370000,4883.290000,4751.425606,5002.861309
3,6623.550000,6503.840000,6283.119245,6741.481616
4,5246.100000,4944.090000,4866.055657,5296.236383
5,5338.890000,5192.730000,4974.084347,5286.488133
6,5777.220000,5552.880000,5422.718734,5864.196311
7,4747.330000,4583.990000,4546.934893,4795.328989
8,4931.320000,4730.630000,4688.285407,4958.637773
9,5586.500000,5346.000000,5202.624748,5902.260868
10,5883.040000,5388.190000,5323.457161,5747.244067
11,6581.820000,6319.050000,6139.181539,6684.440974
12,4970.320000,4825.410000,4591.143163,4914.535888
13,6232.880000,5831.860000,5776.768854,6067.740732
14,5104.890000,4874.010000,4715.478952,4973.416241
15,5805.800000,5633.800000,5578.230153,5978.245891
16,6142.890000,5983.250000,5825.824405,6165.998679
17,5838.810000,5628.390000,5541.710209,6037.785018
18,5715.610000,5220.480000,5194.843164,5609.322878
19,6439.050000,6122.790000,6043.015812,6507.835567
20,4903.020000,4718.470000,4653.128250,4888.968860
21,5813.650000,5667.970000,5527.281745,5860.849238
22,5504.190000,5275.550000,5221.568636,5552.792710
23,5264.270000,5077.750000,4953.006068,5301.643778
24,5384.970000,5255.730000,5122.352893,5661.950562
25,5178.160000,4869.310000,4784.045401,5147.750455
26,5638.970000,5518.690000,5423.397398,5660.049309
27,6187.210000,5957.860000,5856.327441,6367.822152
28,4714.120000,4710.230000,4555.659257,4785.269622
29,6140.760000,6002.690000,5932.537883,6552.883580
30,5122.550000,5101.810000,4904.345702,5133.630038
31,5660.240000,5394.850000,5254.429526,5527.348317
32,5403.950000,5320.240000,5241.307124,5545.527607
33,5347.210000,5118.940000,5049.699827,5516.344862
34,5213.270000,5058.690000,4931.202760,5168.714965
35,5638.410000,5370.080000,5266.686938,5496.997743
36,4944.430000,4867.720000,4718.350147,5055.939157
37,6578.770000,6327.210000,6131.379784,6551.170757
38,6382.120000,6265.910000,6101.996909,6505.040341
39,5682.190000,5338.270000,5193.180375,5687.908625
40,5401.910000,5259.610000,5113.815940,5492.164258
41,6540.530000,6407.880000,6205.357954,6487.636337
42,5131.750000,5080.630000,4890.220809,5268.287739
43,5819.640000,5476.850000,5420.600535,5892.743056
44,5798.140000,5812.460000,5612.277634,5937.327770
45,5415.390000,5211.160000,5126.123766,5491.707954
46,5174.780000,4856.700000,4749.831268,5053.101350
47,5219.900000,4985.270000,4945.273801,5409.122014
48,5787.860000,5688.600000,5550.058004,5896.435513
49,4791.010000,4450.900000,4401.672983,4714.177032
50,5404.310000,5065.930000,5037.170332,5507.284678
51,5373.720000,5306.690000,5056.255422,5415.237810
52,5076.440000,4962.120000,4835.119383,5148.842865
53,6289.440000,6157.380000,5972.206077,6152.348784
54,5544.590000,5209.730000,5165.124151,5642.543546
55,6746.950000,6705.440000,6478.117942,6668.190303
56,5909.040000,5390.850000,5340.179903,5610.798384
57,6296.950000,5974.030000,5939.571906,6269.371408
58,6623.370000,6765.480000,6441.339118,6881.261158
59,6666.080000,6745.190000,6402.386462,6683.639819
60,6540.340000,6339.900000,6283.938359,6713.920999
61,5203.230000,4967.210000,4847.757512,5098.040137
62,5558.070000,5351.480000,5266.902267,5616.080957
63,4952.690000,4891.450000,4773.162897,5041.134208
64,4699.740000,4566.280000,4464.595601,4608.473820
65,5209.940000,5223.610000,5011.217309,5372.294677
66,5816.270000,5400.390000,5327.555871,5649.490871
67,4910.450000,4695.170000,4630.042504,4843.188476
68,5218.220000,4940.560000,4757.169868,5006.798105
69,5832.800000,5311.480000,5270.488819,5494.213323
70,5678.920000,5447.050000,5298.425281,5797.774767
71,4956.810000,4813.350000,4731.382737,4985.539846
72,5685.390000,5544.910000,5452.288323,5908.332418
73,6596.650000,6538.690000,6293.271394,6748.357585
74,5609.720000,5368.160000,5312.298630,5468.931859
75,4921.170000,4829.630000,4712.634675,5054.884124
76,6428.920000,6243.520000,6160.482427,6592.768764
77,5249.620000,5122.440000,4998.726618,5131.673184
78,5842.360000,5530.770000,5415.775404,5854.526315
79,6115.630000,5935.940000,5766.692011,6044.452934
80,5023.070000,4787.150000,4647.119135,4953.183734
81,5059.570000,4701.600000,4626.049588,4937.360417
82,5340.010000,5328.790000,5103.008062,5429.576642
83,6154.590000,5818.700000,5727.637779,5879.348402
84,5177.690000,4973.580000,4838.549135,5200.587588
85,5685.680000,5563.610000,5462.686977,6060.241846
86,5798.440000,5372.900000,5339.506119,5940.671141
87,6376.130000,6157.700000,6080.630639,6597.157092
88,5357.630000,5422.330000,5133.614697,5455.941557
89,5219.650000,5092.100000,4906.429021,5158.345745
90,6333.550000,5922.280000,5750.153842,6108.154968
91,5791.360000,5451.770000,5355.024193,5887.567927
92,5274.180000,5139.740000,4990.558870,5214.773983
93,5381.260000,5341.790000,5246.052727,5500.029215
94,5795.910000,5748.430000,5649.237151,6047.952535
95,5264.630000,5257.730000,5043.306384,5441.217744
96,5932.360000,5839.820000,5758.001467,6103.911742
97,5964.810000,5649.550000,5562.930275,5979.648840
98,5582.650000,5385.980000,5299.297546,5865.934562
99,6951.900000,6643.060000,6586.814384,6834.817335
100,5569.330000,5329.970000,5262.008677,5598.286230
