dataset_num,cluster_first/scenario1,match_first/scenario1,ca_ilp/scenario1,ca_mis/scenario1
1,4347.880000,4276.580000,4248.483586,4447.199247
2,4680.890000,4634.210000,4598.123467,4796.505168
3,6226.050000,6156.910000,6128.893024,6536.972473
4,4771.720000,4765.360000,4670.516938,4993.568046
5,4957.300000,4976.930000,4887.238980,5141.998274
6,5381.030000,5405.110000,5306.111974,5605.731182
7,4484.600000,4517.320000,4433.421957,4618.509371
8,4684.140000,4668.570000,4611.437400,4854.267071
9,5070.080000,5084.120000,5003.350649,5202.383726
10,5214.760000,5145.690000,5101.544698,5344.553205
11,6034.560000,6003.350000,5928.864670,6140.262080
12,4610.250000,4586.510000,4479.955842,4617.464825
13,5657.540000,5652.370000,5568.098783,5853.692146
14,4716.600000,4711.110000,4637.235404,4888.643252
15,5412.670000,5435.860000,5344.142100,5572.197412
16,5697.380000,5822.440000,5670.485990,5982.932680
17,5483.570000,5513.440000,5417.200148,5742.328939
18,5112.310000,5083.470000,5023.932563,5387.481120
19,5967.670000,5878.590000,5852.097068,6010.240379
20,4606.600000,4555.820000,4537.060701,4681.212150
21,5525.870000,5498.990000,5400.978057,5604.575895
22,5088.280000,5017.430000,4996.428536,5351.575999
23,4883.180000,4854.460000,4814.448877,5076.425811
24,5012.250000,5063.680000,4956.571842,5251.477658
25,4717.160000,4644.830000,4546.668965,4742.475289
26,5374.250000,5337.800000,5263.507097,5459.634985
27,5859.270000,5704.050000,5696.865834,5987.071949
28,4447.630000,4450.690000,4379.599934,4528.608088
29,5932.450000,5851.470000,5835.740489,6094.630375
30,4756.070000,4763.460000,4706.074007,4839.619631
31,5141.240000,5108.630000,5031.745773,5254.528691
32,5174.400000,5145.680000,5092.594757,5307.738643
33,4909.030000,4988.920000,4855.477281,5103.846053
34,4790.510000,4738.110000,4655.053146,4851.291410
35,5316.880000,5213.550000,5116.865271,5358.474736
36,4514.040000,4499.880000,4486.850375,4759.132772
37,6126.830000,5997.540000,5961.060998,6185.500072
38,6041.070000,5965.110000,5895.505727,6044.818837
39,5077.600000,5001.050000,4993.593173,5173.518683
40,5102.480000,4978.050000,4961.180188,5104.858036
41,6110.740000,6026.300000,5981.360718,6325.797855
42,4847.920000,4804.410000,4750.014436,4960.543445
43,5423.370000,5270.240000,5256.801708,5510.514943
44,5443.370000,5437.560000,5391.401284,5733.146566
45,5039.720000,4979.770000,4949.100298,5137.144965
46,4701.860000,4669.430000,4605.877715,4835.268557
47,4933.240000,4852.010000,4815.986134,5087.123139
48,5475.290000,5391.780000,5341.815737,5611.292759
49,4428.010000,4330.830000,4283.275975,4410.510241
50,4967.430000,4933.490000,4913.087266,5261.025363
51,4938.100000,4847.550000,4804.034455,4929.887333
52,4716.850000,4721.980000,4677.346888,4813.446155
53,5925.410000,5907.870000,5803.730840,6066.615397
54,5081.050000,5020.230000,5003.325448,5252.637813
55,6423.690000,6403.620000,6334.284191,6424.979864
56,5252.470000,5123.300000,5060.712135,5363.333564
57,6028.180000,5821.390000,5780.613563,6212.272323
58,6439.970000,6384.800000,6339.573644,6641.349024
59,6337.040000,6348.430000,6261.519708,6444.145362
60,6294.560000,6223.660000,6165.991406,6452.357339
61,4844.700000,4885.410000,4795.122518,5000.437251
62,5192.480000,5196.500000,5130.047826,5358.661635
63,4766.120000,4669.630000,4655.462046,5015.039267
64,4489.400000,4327.240000,4326.527011,4529.783954
65,4874.430000,4817.890000,4778.042415,5088.255353
66,5256.050000,5212.320000,5124.430207,5410.684179
67,4556.170000,4529.190000,4470.460658,4716.083464
68,4519.200000,4535.650000,4470.380135,4647.697384
69,5306.960000,5233.720000,5164.263006,5241.365013
70,5158.680000,5058.270000,4974.606641,5286.209645
71,4685.830000,4639.080000,4587.054305,4781.601118
72,5334.850000,5329.930000,5257.349580,5624.501174
73,6136.690000,6176.900000,6062.510993,6203.556599
74,5324.760000,5257.160000,5198.534204,5401.059842
75,4699.940000,4617.760000,4565.404277,4704.779978
76,5954.810000,5934.330000,5874.804052,6155.028210
77,4818.860000,4809.030000,4784.474639,4910.667237
78,5384.090000,5365.420000,5283.768399,5501.739412
79,5682.900000,5568.990000,5555.734697,5865.280665
80,4517.140000,4538.710000,4444.912479,4727.724059
81,4735.530000,4595.110000,4537.450723,4817.400049
82,5104.000000,4956.360000,4914.378193,5275.837284
83,5630.700000,5598.390000,5534.058257,5780.784269
84,4778.660000,4778.610000,4687.394728,4982.995988
85,5260.070000,5252.570000,5162.350549,5433.646019
86,5046.330000,4975.670000,4918.348774,5261.006602
87,6032.720000,5981.610000,5886.583628,6274.390847
88,5017.720000,4932.290000,4917.142036,5231.644125
89,4767.330000,4790.050000,4678.762976,4859.062518
90,5654.140000,5568.410000,5553.071234,5872.730504
91,5255.520000,5121.530000,5103.845540,5393.862019
92,5034.430000,4899.590000,4870.508441,5088.444548
93,5153.330000,5123.510000,5081.212555,5311.688791
94,5506.290000,5475.240000,5462.188899,5700.245523
95,4946.740000,4936.500000,4867.722454,5182.468782
96,5700.740000,5676.990000,5613.259067,5766.857044
97,5455.790000,5388.590000,5309.337224,5575.791015
98,5282.030000,5166.660000,5132.621859,5287.291344
99,6627.520000,6509.680000,6438.740809,6617.722194
100,5088.820000,5125.260000,5071.048449,5323.297744
