scenario,test_name,total_distance,runtime_ms,tours
"scenario1","cluster_01.json",1145.54,0.45,"[0, 16, 18] | [0, 12, 15] | [0, 10, 13] | [0, 9, 17] | [0, 6, 14] | [0, 5, 11] | [0, 3, 7] | [0, 2, 8] | [0, 1, 4]"
"scenario1","cluster_02.json",647.69,0.14,"[0, 6, 10] | [0, 5, 7] | [0, 4, 11] | [0, 3, 12] | [0, 2, 9] | [0, 1, 8]"
"scenario1","cluster_05.json",1046.21,0.48,"[0, 15, 18] | [0, 10, 20] | [0, 9, 12] | [0, 8, 11] | [0, 7, 14] | [0, 5, 16] | [0, 4, 6] | [0, 3, 13] | [0, 2, 17] | [0, 1, 19]"
"scenario1","cluster_06.json",186.16,0.08,"[0, 3, 5] | [0, 2, 4] | [0, 1, 6]"
"scenario1","cluster_07.json",1019.71,0.32,"[0, 10, 11] | [0, 9, 12] | [0, 6, 14] | [0, 5, 7] | [0, 4, 8] | [0, 3, 13] | [0, 2, 15] | [0, 1, 16]"
"scenario1","cluster_08.json",642.10,0.20,"[0, 9, 13] | [0, 8, 11] | [0, 7, 14] | [0, 5, 6] | [0, 3, 12] | [0, 2, 10] | [0, 1, 4]"
"scenario1","cluster_09.json",646.89,0.10,"[0, 5, 6] | [0, 4, 10] | [0, 3, 9] | [0, 2, 8] | [0, 1, 7]"
"scenario1","cluster_10.json",323.24,0.05,"[0, 4, 6] | [0, 3, 5] | [0, 1, 2]"
