scenario,test_name,total_distance,runtime_ms,tours
"scenario1","cluster_01.json",1801.54,0.21,"[0, 19, 20] | [0, 12, 17] | [0, 11, 13] | [0, 8, 16] | [0, 7, 18] | [0, 6, 9] | [0, 4, 15] | [0, 3, 14] | [0, 2, 10] | [0, 1, 5]"
"scenario1","cluster_02.json",881.36,0.11,"[0, 10, 14] | [0, 8, 9] | [0, 7, 12] | [0, 5, 6] | [0, 4, 11] | [0, 3, 13] | [0, 1, 2]"
"scenario1","cluster_03.json",85.52,0.01,"[0, 1, 2]"
"scenario1","cluster_04.json",1439.48,0.22,"[0, 13, 17] | [0, 9, 14] | [0, 8, 16] | [0, 6, 11] | [0, 5, 10] | [0, 4, 12] | [0, 3, 18] | [0, 2, 15] | [0, 1, 7]"
"scenario1","cluster_05.json",124.56,0.02,"[0, 3, 4] | [0, 1, 2]"
"scenario1","cluster_06.json",644.42,0.17,"[0, 10, 12] | [0, 7, 9] | [0, 6, 13] | [0, 5, 11] | [0, 3, 14] | [0, 2, 4] | [0, 1, 8]"
"scenario1","cluster_07.json",193.54,0.03,"[0, 2, 4] | [0, 1, 3]"
"scenario1","cluster_08.json",777.16,0.23,"[0, 12, 15] | [0, 11, 17] | [0, 10, 16] | [0, 9, 14] | [0, 6, 18] | [0, 4, 13] | [0, 3, 8] | [0, 2, 5] | [0, 1, 7]"
"scenario1","cluster_09.json",132.76,0.03,"[0, 2, 4] | [0, 1, 3]"
"scenario1","cluster_10.json",214.22,0.04,"[0, 5, 6] | [0, 2, 3] | [0, 1, 4]"
