scenario,test_name,total_distance,runtime_ms,tours
"scenario1","cluster_01.json",12.16,0.03,"[0, 1, 2]"
"scenario1","cluster_02.json",400.52,0.09,"[0, 10, 11] | [0, 6, 8] | [0, 4, 12] | [0, 3, 7] | [0, 2, 9] | [0, 1, 5]"
"scenario1","cluster_03.json",452.19,0.09,"[0, 7, 8] | [0, 5, 10] | [0, 3, 4] | [0, 2, 6] | [0, 1, 9]"
"scenario1","cluster_04.json",657.47,0.07,"[0, 10, 11] | [0, 8, 12] | [0, 6, 9] | [0, 3, 7] | [0, 2, 5] | [0, 1, 4]"
"scenario1","cluster_05.json",168.83,0.02,"[0, 2, 4] | [0, 1, 3]"
"scenario1","cluster_06.json",561.23,0.12,"[0, 11, 12] | [0, 7, 9] | [0, 4, 5] | [0, 3, 10] | [0, 2, 6] | [0, 1, 8]"
"scenario1","cluster_07.json",617.85,0.14,"[0, 9, 10] | [0, 8, 12] | [0, 4, 5] | [0, 3, 11] | [0, 2, 6] | [0, 1, 7]"
"scenario1","cluster_08.json",647.91,0.32,"[0, 12, 13] | [0, 11, 16] | [0, 9, 15] | [0, 7, 8] | [0, 5, 10] | [0, 4, 14] | [0, 2, 3] | [0, 1, 6]"
"scenario1","cluster_09.json",337.38,0.12,"[0, 8, 9] | [0, 6, 7] | [0, 4, 5] | [0, 3, 12] | [0, 2, 11] | [0, 1, 10]"
"scenario1","cluster_10.json",658.50,0.27,"[0, 10, 12] | [0, 8, 14] | [0, 7, 16] | [0, 5, 15] | [0, 4, 6] | [0, 3, 13] | [0, 2, 9] | [0, 1, 11]"
