scenario,test_name,total_distance,runtime_ms,tours
"scenario1","cluster_01.json",40.26,0.03,"[0, 1, 2]"
"scenario1","cluster_02.json",1356.29,0.46,"[0, 21, 24] | [0, 15, 17] | [0, 14, 19] | [0, 11, 20] | [0, 10, 23] | [0, 9, 12] | [0, 8, 22] | [0, 5, 13] | [0, 4, 18] | [0, 3, 16] | [0, 2, 7] | [0, 1, 6]"
"scenario1","cluster_03.json",514.97,0.08,"[0, 6, 8] | [0, 4, 5] | [0, 2, 3] | [0, 1, 7]"
"scenario1","cluster_04.json",214.18,0.08,"[0, 7, 8] | [0, 5, 6] | [0, 2, 4] | [0, 1, 3]"
"scenario1","cluster_05.json",581.20,0.06,"[0, 7, 8] | [0, 6, 9] | [0, 4, 10] | [0, 2, 3] | [0, 1, 5]"
"scenario1","cluster_06.json",331.66,0.07,"[0, 7, 8] | [0, 5, 9] | [0, 4, 6] | [0, 2, 3] | [0, 1, 10]"
"scenario1","cluster_07.json",1882.11,0.32,"[0, 20, 23] | [0, 18, 24] | [0, 16, 22] | [0, 11, 17] | [0, 10, 13] | [0, 8, 19] | [0, 7, 26] | [0, 6, 14] | [0, 5, 25] | [0, 4, 12] | [0, 3, 21] | [0, 2, 15] | [0, 1, 9]"
"scenario1","cluster_08.json",108.96,0.02,"[0, 2, 4] | [0, 1, 3]"
"scenario1","cluster_09.json",217.37,0.03,"[0, 3, 4] | [0, 2, 6] | [0, 1, 5]"
"scenario1","cluster_10.json",278.87,0.07,"[0, 5, 8] | [0, 3, 6] | [0, 2, 4] | [0, 1, 7]"
