scenario,test_name,total_distance,runtime_ms,tours
"scenario1","cluster_01.json",290.70,0.05,"[0, 4, 5] | [0, 2, 3] | [0, 1, 6]"
"scenario1","cluster_02.json",797.46,0.33,"[0, 13, 14] | [0, 11, 12] | [0, 10, 16] | [0, 6, 15] | [0, 5, 8] | [0, 3, 7] | [0, 2, 4] | [0, 1, 9]"
"scenario1","cluster_03.json",162.32,0.07,"[0, 2, 4] | [0, 1, 3]"
"scenario1","cluster_04.json",179.37,0.08,"[0, 2, 4] | [0, 1, 3]"
"scenario1","cluster_05.json",362.24,0.16,"[0, 7, 9] | [0, 6, 10] | [0, 4, 5] | [0, 2, 3] | [0, 1, 8]"
"scenario1","cluster_06.json",227.54,0.09,"[0, 4, 6] | [0, 3, 5] | [0, 1, 2]"
"scenario1","cluster_07.json",179.63,0.08,"[0, 3, 5] | [0, 2, 4] | [0, 1, 6]"
"scenario1","cluster_08.json",285.21,0.16,"[0, 6, 8] | [0, 4, 9] | [0, 3, 10] | [0, 2, 7] | [0, 1, 5]"
"scenario1","cluster_09.json",210.99,0.08,"[0, 2, 3] | [0, 1, 4]"
"scenario1","cluster_10.json",3229.95,1.69,"[0, 29, 37] | [0, 24, 30] | [0, 21, 33] | [0, 20, 27] | [0, 19, 31] | [0, 18, 25] | [0, 15, 16] | [0, 12, 23] | [0, 11, 22] | [0, 10, 35] | [0, 9, 17] | [0, 8, 28] | [0, 7, 13] | [0, 6, 26] | [0, 5, 38] | [0, 4, 36] | [0, 3, 14] | [0, 2, 34] | [0, 1, 32]"
