scenario,test_name,total_distance,runtime_ms,tours
"scenario1","cluster_01.json",338.36,0.09,"[0, 7, 8] | [0, 5, 9] | [0, 4, 10] | [0, 2, 6] | [0, 1, 3]"
"scenario1","cluster_02.json",364.22,0.05,"[0, 3, 5] | [0, 2, 4] | [0, 1, 6]"
"scenario1","cluster_03.json",1670.33,0.30,"[0, 19, 21] | [0, 14, 16] | [0, 13, 22] | [0, 9, 12] | [0, 8, 15] | [0, 7, 10] | [0, 6, 20] | [0, 4, 5] | [0, 3, 17] | [0, 2, 18] | [0, 1, 11]"
"scenario1","cluster_04.json",141.89,0.02,"[0, 2, 3] | [0, 1, 4]"
"scenario1","cluster_05.json",559.91,0.12,"[0, 10, 12] | [0, 6, 8] | [0, 5, 9] | [0, 3, 7] | [0, 2, 4] | [0, 1, 11]"
"scenario1","cluster_06.json",1902.41,0.33,"[0, 23, 24] | [0, 16, 17] | [0, 12, 20] | [0, 11, 19] | [0, 10, 13] | [0, 9, 15] | [0, 8, 22] | [0, 6, 18] | [0, 4, 14] | [0, 3, 5] | [0, 2, 7] | [0, 1, 21]"
"scenario1","cluster_08.json",902.50,0.25,"[0, 12, 18] | [0, 9, 11] | [0, 8, 14] | [0, 6, 13] | [0, 5, 17] | [0, 4, 10] | [0, 3, 15] | [0, 2, 7] | [0, 1, 16]"
"scenario1","cluster_09.json",38.24,0.01,"[0, 1, 2]"
"scenario1","cluster_10.json",116.70,0.02,"[0, 2, 3] | [0, 1, 4]"
