capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,0.0000,0.0000,343.1320,100,ok,true
50,0.0000,0.0000,621.0640,100,ok,true
90,0.0000,0.0000,888.7343,100,ok,true
150,565967.2133,5659.6721,5065.1367,100,ok,true
200,537178.6610,5371.7866,4552.4683,100,ok,true
250,537178.6610,5371.7866,4552.6247,100,ok,true
300,537178.6610,5371.7866,4556.5071,100,ok,true
350,537178.6610,5371.7866,4699.5956,100,ok,true
400,537178.6610,5371.7866,4544.5794,100,ok,true
500,537178.6610,5371.7866,4500.1804,100,ok,true
