capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,518751.5400,5187.5154,946.4900,100,ok,false
50,518751.5400,5187.5154,962.3100,100,ok,false
90,518751.5400,5187.5154,984.0400,100,ok,false
150,518751.5400,5187.5154,1036.3700,100,ok,false
200,518751.5400,5187.5154,1038.9200,100,ok,true
250,518751.5400,5187.5154,1100.7000,100,ok,true
300,518751.5400,5187.5154,1032.2200,100,ok,true
350,518751.5400,5187.5154,1127.3100,100,ok,true
400,518751.5400,5187.5154,1031.2600,100,ok,true
500,518751.5400,5187.5154,987.1800,100,ok,true
