capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,0.0000,0.0000,17308.4538,100,ok,false
50,0.0000,0.0000,17615.9705,100,ok,false
90,0.0000,0.0000,19815.1744,100,ok,false
150,474291.2954,4742.9130,444190.2112,100,ok,false
200,389015.1896,3890.1519,1809179.8907,100,ok,true
250,353195.4980,3531.9550,2731273.3568,100,ok,true
300,342369.3051,3423.6931,2970854.2971,100,ok,true
350,340723.5844,3407.2358,3118016.0993,100,ok,true
400,340654.9475,3406.5495,3060280.7481,100,ok,true
500,340654.9475,3406.5495,3089732.0168,100,ok,true
