capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,518751.5400,5187.5154,1210.2300,100,ok,false
50,518674.4800,5186.7448,1228.6700,100,ok,false
90,524941.0000,5249.4100,1259.5200,100,ok,false
150,510786.7800,5107.8678,1366.0500,100,ok,false
200,478394.4300,4783.9443,1394.7800,100,ok,true
250,415352.3900,4153.5239,1370.7700,100,ok,true
300,370434.6400,3704.3464,1330.4400,100,ok,true
350,349291.4500,3492.9145,1343.4500,100,ok,true
400,348674.7400,3486.7474,1300.9600,100,ok,true
500,348674.7400,3486.7474,1224.3500,100,ok,true
