capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,523298.8300,5232.9883,170.5800,100,ok,false
50,523298.8300,5232.9883,171.7400,100,ok,false
90,523298.8300,5232.9883,171.8500,100,ok,false
150,523298.8300,5232.9883,199.3700,100,ok,false
200,523298.8300,5232.9883,197.4000,100,ok,true
250,523298.8300,5232.9883,482.4000,100,ok,true
300,523298.8300,5232.9883,426.9100,100,ok,true
350,523298.8300,5232.9883,390.6300,100,ok,true
400,523298.8300,5232.9883,444.6200,100,ok,true
500,523298.8300,5232.9883,170.9600,100,ok,true
