capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,851998.1400,8519.9814,112.2200,100,ok,true
50,817651.4300,8176.5143,119.3700,100,ok,true
90,703689.9400,7036.8994,153.8800,100,ok,true
150,546899.8900,5468.9989,249.4800,100,ok,true
200,523298.8300,5232.9883,271.6800,100,ok,true
250,523298.8300,5232.9883,527.7400,100,ok,true
300,523298.8300,5232.9883,414.6800,100,ok,true
350,523298.8300,5232.9883,429.2500,100,ok,true
400,523298.8300,5232.9883,522.7000,100,ok,true
500,523298.8300,5232.9883,271.7700,100,ok,true
