capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,0.0000,0.0000,11910.6930,100,ok,false
50,0.0000,0.0000,12605.4763,100,ok,false
90,0.0000,0.0000,14986.7989,100,ok,false
150,530734.4839,5307.3448,52562.9828,100,ok,false
200,429906.7548,4299.0675,91204.0292,100,ok,true
250,392349.3862,3923.4939,116353.8325,100,ok,true
300,380633.8502,3806.3385,121024.9134,100,ok,true
350,379319.1934,3793.1919,122206.1620,100,ok,true
400,379222.1715,3792.2217,120972.1233,100,ok,true
500,379222.1715,3792.2217,121768.4994,100,ok,true
