capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,0.0000,0.0000,507.9004,100,ok,true
50,0.0000,0.0000,559.5252,100,ok,true
90,0.0000,0.0000,974.7292,100,ok,true
150,530488.0362,5304.8804,34737.6664,100,ok,true
200,512858.7763,5128.5878,40518.5021,100,ok,true
250,512858.7763,5128.5878,31221.6709,100,ok,true
300,512858.7763,5128.5878,31203.6006,100,ok,true
350,512858.7763,5128.5878,32590.7682,100,ok,true
400,512858.7763,5128.5878,31227.0745,100,ok,true
500,512858.7763,5128.5878,31691.5938,100,ok,true
