scenario,test_name,total_distance,runtime_ms,tours
"scenario3","cluster_01.json",1893.27,1.15,"[0, 12, 14] | [0, 11, 17] | [0, 10, 13] | [0, 9, 20] | [0, 8, 16] | [0, 7, 18] | [0, 4, 15] | [0, 3, 19] | [0, 2, 6] | [0, 1, 5]"
"scenario3","cluster_02.json",914.44,0.44,"[0, 12, 13] | [0, 10, 14] | [0, 7, 8] | [0, 5, 6] | [0, 4, 11] | [0, 3, 9] | [0, 1, 2]"
"scenario3","cluster_03.json",85.52,0.04,"[0, 1, 2]"
"scenario3","cluster_04.json",1483.37,0.63,"[0, 13, 17] | [0, 12, 16] | [0, 10, 18] | [0, 9, 15] | [0, 6, 14] | [0, 4, 11] | [0, 3, 5] | [0, 2, 8] | [0, 1, 7]"
"scenario3","cluster_05.json",133.78,0.07,"[0, 1, 2] | [0, 3] | [0, 4]"
"scenario3","cluster_06.json",647.26,0.39,"[0, 8, 11] | [0, 7, 9] | [0, 5, 14] | [0, 4, 12] | [0, 3, 13] | [0, 2, 6] | [0, 1, 10]"
"scenario3","cluster_07.json",218.99,0.03,"[0, 1, 3] | [0, 2] | [0, 4]"
"scenario3","cluster_08.json",777.21,0.89,"[0, 12, 15] | [0, 10, 16] | [0, 9, 14] | [0, 6, 18] | [0, 5, 17] | [0, 4, 13] | [0, 3, 8] | [0, 2, 11] | [0, 1, 7]"
"scenario3","cluster_09.json",132.76,0.09,"[0, 2, 4] | [0, 1, 3]"
"scenario3","cluster_10.json",253.74,0.09,"[0, 2, 5] | [0, 1, 4] | [0, 3] | [0, 6]"
