scenario,test_name,total_distance,runtime_ms,tours
"scenario3","cluster_01.json",645.21,0.20,"[0, 11, 12] | [0, 9, 14] | [0, 6, 7] | [0, 5, 13] | [0, 3, 4] | [0, 2, 8] | [0, 1, 10]"
"scenario3","cluster_02.json",806.62,0.39,"[0, 11, 13] | [0, 8, 14] | [0, 6, 12] | [0, 5, 7] | [0, 4, 9] | [0, 2, 3] | [0, 1, 10]"
"scenario3","cluster_03.json",303.95,0.06,"[0, 1, 5] | [0, 2] | [0, 3] | [0, 4] | [0, 6]"
"scenario3","cluster_04.json",618.90,0.32,"[0, 12, 13] | [0, 9, 11] | [0, 5, 6] | [0, 4, 14] | [0, 3, 7] | [0, 2, 10] | [0, 1, 8]"
"scenario3","cluster_05.json",211.93,0.12,"[0, 3, 6] | [0, 2, 4] | [0, 1, 5]"
"scenario3","cluster_06.json",501.73,0.24,"[0, 10, 12] | [0, 8, 9] | [0, 4, 7] | [0, 3, 6] | [0, 2, 5] | [0, 1, 11]"
"scenario3","cluster_07.json",288.75,0.08,"[0, 4, 6] | [0, 2, 5] | [0, 1, 3]"
"scenario3","cluster_08.json",525.50,0.20,"[0, 6, 10] | [0, 4, 8] | [0, 2, 9] | [0, 1, 3] | [0, 5] | [0, 7]"
"scenario3","cluster_09.json",855.13,0.41,"[0, 12, 15] | [0, 8, 10] | [0, 7, 11] | [0, 4, 13] | [0, 3, 16] | [0, 2, 5] | [0, 1, 14] | [0, 6] | [0, 9]"
"scenario3","cluster_10.json",419.97,0.15,"[0, 5, 6] | [0, 3, 8] | [0, 2, 7] | [0, 1, 4]"
