scenario,test_name,total_distance,runtime_ms,tours
"scenario3","depot_1_route_1",26.305893,4.877642,"[0, 20]"
"scenario3","depot_1_route_2",79.120162,4.877642,"[0, 22]"
"scenario3","depot_3_route_3",8.485281,4.877642,"[2, 29]"
"scenario3","depot_4_route_4",17.888544,4.877642,"[3, 31]"
"scenario3","depot_2_route_5",12.806248,4.877642,"[1, 39]"
"scenario3","depot_8_route_6",22.090722,4.877642,"[7, 53]"
"scenario3","depot_5_route_7",54.037024,4.877642,"[4, 100]"
"scenario3","depot_2_route_8",27.202941,4.877642,"[1, 104]"
"scenario3","depot_10_route_9",54.184303,4.877642,"[9, 10, 23]"
"scenario3","depot_3_route_10",238.618636,4.877642,"[2, 11, 52]"
"scenario3","depot_7_route_11",109.869874,4.877642,"[6, 12, 24]"
"scenario3","depot_5_route_12",90.711296,4.877642,"[4, 13, 40]"
"scenario3","depot_2_route_13",121.225418,4.877642,"[1, 14, 95]"
"scenario3","depot_5_route_14",137.401169,4.877642,"[4, 15, 102]"
"scenario3","depot_5_route_15",208.933063,4.877642,"[4, 16, 48]"
"scenario3","depot_6_route_16",67.684905,4.877642,"[5, 17, 54]"
"scenario3","depot_7_route_17",64.082875,4.877642,"[6, 18, 67]"
"scenario3","depot_5_route_18",81.003912,4.877642,"[4, 19, 60]"
"scenario3","depot_7_route_19",201.852694,4.877642,"[6, 21, 57]"
"scenario3","depot_10_route_20",218.260855,4.877642,"[9, 25, 42]"
"scenario3","depot_7_route_21",202.464433,4.877642,"[6, 26, 109]"
"scenario3","depot_5_route_22",56.481627,4.877642,"[4, 27, 88]"
"scenario3","depot_10_route_23",151.752205,4.877642,"[9, 28, 59]"
"scenario3","depot_4_route_24",79.209727,4.877642,"[3, 30, 51]"
"scenario3","depot_3_route_25",35.224014,4.877642,"[2, 32, 75]"
"scenario3","depot_3_route_26",206.491395,4.877642,"[2, 33, 89]"
"scenario3","depot_4_route_27",75.185656,4.877642,"[3, 34, 84]"
"scenario3","depot_10_route_28",45.798266,4.877642,"[9, 35, 46]"
"scenario3","depot_10_route_29",228.048269,4.877642,"[9, 36, 99]"
"scenario3","depot_10_route_30",134.014611,4.877642,"[9, 37, 82]"
"scenario3","depot_1_route_31",119.608050,4.877642,"[0, 38, 105]"
"scenario3","depot_1_route_32",43.847723,4.877642,"[0, 41, 58]"
"scenario3","depot_10_route_33",100.752821,4.877642,"[9, 43, 85]"
"scenario3","depot_5_route_34",65.834671,4.877642,"[4, 44, 62]"
"scenario3","depot_7_route_35",159.076984,4.877642,"[6, 45, 74]"
"scenario3","depot_3_route_36",102.849946,4.877642,"[2, 47, 69]"
"scenario3","depot_10_route_37",164.186401,4.877642,"[9, 49, 55]"
"scenario3","depot_5_route_38",46.903963,4.877642,"[4, 50, 70]"
"scenario3","depot_7_route_39",108.342605,4.877642,"[6, 56, 63]"
"scenario3","depot_10_route_40",70.251216,4.877642,"[9, 61, 107]"
"scenario3","depot_10_route_41",90.137378,4.877642,"[9, 64, 79]"
"scenario3","depot_7_route_42",62.507536,4.877642,"[6, 65, 108]"
"scenario3","depot_2_route_43",234.126730,4.877642,"[1, 66, 86]"
"scenario3","depot_7_route_44",53.656460,4.877642,"[6, 68, 72]"
"scenario3","depot_2_route_45",67.286134,4.877642,"[1, 71, 80]"
"scenario3","depot_2_route_46",52.989273,4.877642,"[1, 73, 81]"
"scenario3","depot_5_route_47",154.523604,4.877642,"[4, 76, 97]"
"scenario3","depot_7_route_48",68.003270,4.877642,"[6, 77, 92]"
"scenario3","depot_2_route_49",145.558668,4.877642,"[1, 78, 93]"
"scenario3","depot_5_route_50",122.941693,4.877642,"[4, 83, 90]"
"scenario3","depot_7_route_51",172.621776,4.877642,"[6, 87, 103]"
"scenario3","depot_3_route_52",89.800654,4.877642,"[2, 91, 98]"
"scenario3","depot_9_route_53",38.902687,4.877642,"[8, 94, 106]"
"scenario3","depot_10_route_54",187.083891,4.877642,"[9, 96, 101]"
