scenario,test_name,total_distance,runtime_ms,tours
"scenario3","depot_9_route_1",8.944272,0.923256,"[8, 82]"
"scenario3","depot_7_route_2",20.848858,0.923256,"[6, 37, 56]"
"scenario3","depot_3_route_3",27.306170,0.923256,"[2, 11, 88]"
"scenario3","depot_4_route_4",14.560220,0.923256,"[3, 49]"
"scenario3","depot_1_route_5",15.231546,0.923256,"[0, 51]"
"scenario3","depot_6_route_6",18.000000,0.923256,"[5, 75]"
"scenario3","depot_5_route_7",18.439089,0.923256,"[4, 80]"
"scenario3","depot_2_route_8",42.104272,0.923256,"[1, 20, 83]"
"scenario3","depot_6_route_9",23.409400,0.923256,"[5, 42]"
"scenario3","depot_3_route_10",48.811359,0.923256,"[2, 41, 102]"
"scenario3","depot_4_route_11",50.305120,0.923256,"[3, 30, 96]"
"scenario3","depot_9_route_12",52.953157,0.923256,"[8, 33, 34]"
"scenario3","depot_10_route_13",57.286182,0.923256,"[9, 58, 97]"
"scenario3","depot_4_route_14",64.277645,0.923256,"[3, 69, 85]"
"scenario3","depot_8_route_15",33.105891,0.923256,"[7, 14]"
"scenario3","depot_7_route_16",34.058773,0.923256,"[6, 18]"
"scenario3","depot_2_route_17",68.205979,0.923256,"[1, 29, 61]"
"scenario3","depot_9_route_18",69.826514,0.923256,"[8, 27, 71]"
"scenario3","depot_3_route_19",71.419788,0.923256,"[2, 35, 103]"
"scenario3","depot_4_route_20",37.363083,0.923256,"[3, 95]"
"scenario3","depot_1_route_21",76.507687,0.923256,"[0, 40, 93]"
"scenario3","depot_9_route_22",77.228769,0.923256,"[8, 45, 81]"
"scenario3","depot_9_route_23",81.385036,0.923256,"[8, 23, 53]"
"scenario3","depot_5_route_24",82.539093,0.923256,"[4, 31, 57]"
"scenario3","depot_6_route_25",84.053727,0.923256,"[5, 62, 66]"
"scenario3","depot_5_route_26",42.379240,0.923256,"[4, 43]"
"scenario3","depot_1_route_27",86.309251,0.923256,"[0, 25, 72]"
"scenario3","depot_1_route_28",87.751493,0.923256,"[0, 94, 100]"
"scenario3","depot_5_route_29",88.705724,0.923256,"[4, 38, 101]"
"scenario3","depot_6_route_30",90.662182,0.923256,"[5, 55, 59]"
"scenario3","depot_3_route_31",91.719610,0.923256,"[2, 64, 68]"
"scenario3","depot_3_route_32",91.809775,0.923256,"[2, 26, 78]"
"scenario3","depot_2_route_33",91.966268,0.923256,"[1, 39, 106]"
"scenario3","depot_6_route_34",96.993339,0.923256,"[5, 21, 104]"
"scenario3","depot_7_route_35",97.138937,0.923256,"[6, 10, 105]"
"scenario3","depot_5_route_36",102.511276,0.923256,"[4, 32, 90]"
"scenario3","depot_5_route_37",103.818516,0.923256,"[4, 60, 89]"
"scenario3","depot_2_route_38",106.244502,0.923256,"[1, 17, 76]"
"scenario3","depot_6_route_39",108.241951,0.923256,"[5, 13, 99]"
"scenario3","depot_5_route_40",118.959308,0.923256,"[4, 63, 65]"
"scenario3","depot_2_route_41",119.844251,0.923256,"[1, 70, 92]"
"scenario3","depot_9_route_42",60.166436,0.923256,"[8, 47]"
"scenario3","depot_1_route_43",124.234579,0.923256,"[0, 12, 48]"
"scenario3","depot_2_route_44",127.790821,0.923256,"[1, 36, 46]"
"scenario3","depot_6_route_45",137.138085,0.923256,"[5, 28, 108]"
"scenario3","depot_6_route_46",138.566063,0.923256,"[5, 77, 86]"
"scenario3","depot_3_route_47",142.065530,0.923256,"[2, 24, 107]"
"scenario3","depot_9_route_48",152.571084,0.923256,"[8, 73, 91]"
"scenario3","depot_9_route_49",76.941536,0.923256,"[8, 74]"
"scenario3","depot_6_route_50",158.081381,0.923256,"[5, 54, 79]"
"scenario3","depot_2_route_51",159.322414,0.923256,"[1, 52, 67]"
"scenario3","depot_1_route_52",82.000000,0.923256,"[0, 50]"
"scenario3","depot_5_route_53",170.005844,0.923256,"[4, 19, 109]"
"scenario3","depot_6_route_54",178.711440,0.923256,"[5, 15, 87]"
"scenario3","depot_7_route_55",194.310303,0.923256,"[6, 16, 22]"
"scenario3","depot_2_route_56",109.416635,0.923256,"[1, 84]"
"scenario3","depot_3_route_57",124.851912,0.923256,"[2, 44]"
"scenario3","depot_3_route_58",134.014925,0.923256,"[2, 98]"
