scenario,test_name,total_distance,runtime_ms,tours
"scenario3","depot_1_route_1",10.198039,0.506875,"[0, 23]"
"scenario3","depot_3_route_2",12.165525,0.506875,"[2, 86]"
"scenario3","depot_3_route_3",15.620499,0.506875,"[2, 70]"
"scenario3","depot_8_route_4",16.124515,0.506875,"[7, 21]"
"scenario3","depot_6_route_5",37.143789,0.506875,"[5, 96, 104]"
"scenario3","depot_2_route_6",39.301583,0.506875,"[1, 14, 18]"
"scenario3","depot_9_route_7",41.262411,0.506875,"[8, 27, 43]"
"scenario3","depot_2_route_8",42.018428,0.506875,"[1, 67, 84]"
"scenario3","depot_1_route_9",44.293534,0.506875,"[0, 40, 95]"
"scenario3","depot_7_route_10",48.416933,0.506875,"[6, 44, 71]"
"scenario3","depot_3_route_11",52.618116,0.506875,"[2, 16, 48]"
"scenario3","depot_3_route_12",56.999922,0.506875,"[2, 74, 106]"
"scenario3","depot_3_route_13",59.705677,0.506875,"[2, 47, 77]"
"scenario3","depot_5_route_14",30.066593,0.506875,"[4, 69]"
"scenario3","depot_5_route_15",60.145693,0.506875,"[4, 28, 68]"
"scenario3","depot_6_route_16",62.702713,0.506875,"[5, 32, 46]"
"scenario3","depot_8_route_17",66.735306,0.506875,"[7, 22, 54]"
"scenario3","depot_5_route_18",68.121441,0.506875,"[4, 15, 35]"
"scenario3","depot_9_route_19",69.878881,0.506875,"[8, 38, 51]"
"scenario3","depot_4_route_20",72.743455,0.506875,"[3, 24, 42]"
"scenario3","depot_2_route_21",73.323624,0.506875,"[1, 61, 93]"
"scenario3","depot_4_route_22",74.312305,0.506875,"[3, 45, 73]"
"scenario3","depot_4_route_23",78.330059,0.506875,"[3, 99, 100]"
"scenario3","depot_10_route_24",80.920544,0.506875,"[9, 31, 58]"
"scenario3","depot_9_route_25",41.036569,0.506875,"[8, 64]"
"scenario3","depot_5_route_26",41.617304,0.506875,"[4, 37]"
"scenario3","depot_8_route_27",84.943976,0.506875,"[7, 30, 62]"
"scenario3","depot_3_route_28",86.587004,0.506875,"[2, 66, 98]"
"scenario3","depot_7_route_29",92.574286,0.506875,"[6, 13, 89]"
"scenario3","depot_7_route_30",47.413078,0.506875,"[6, 87]"
"scenario3","depot_6_route_31",95.480087,0.506875,"[5, 60, 90]"
"scenario3","depot_1_route_32",49.396356,0.506875,"[0, 109]"
"scenario3","depot_6_route_33",101.679466,0.506875,"[5, 20, 105]"
"scenario3","depot_9_route_34",104.188903,0.506875,"[8, 11, 12]"
"scenario3","depot_3_route_35",105.591702,0.506875,"[2, 34, 72]"
"scenario3","depot_6_route_36",107.745908,0.506875,"[5, 26, 56]"
"scenario3","depot_7_route_37",107.908516,0.506875,"[6, 103, 107]"
"scenario3","depot_3_route_38",114.818660,0.506875,"[2, 41, 94]"
"scenario3","depot_2_route_39",114.924070,0.506875,"[1, 88, 97]"
"scenario3","depot_5_route_40",115.276506,0.506875,"[4, 36, 81]"
"scenario3","depot_2_route_41",60.000000,0.506875,"[1, 102]"
"scenario3","depot_4_route_42",120.636643,0.506875,"[3, 25, 57]"
"scenario3","depot_1_route_43",121.413219,0.506875,"[0, 10, 29]"
"scenario3","depot_8_route_44",62.096699,0.506875,"[7, 17]"
"scenario3","depot_5_route_45",136.272916,0.506875,"[4, 55, 83]"
"scenario3","depot_2_route_46",137.904911,0.506875,"[1, 49, 108]"
"scenario3","depot_6_route_47",138.573411,0.506875,"[5, 52, 82]"
"scenario3","depot_9_route_48",139.182901,0.506875,"[8, 59, 79]"
"scenario3","depot_5_route_49",70.455660,0.506875,"[4, 76]"
"scenario3","depot_5_route_50",142.162212,0.506875,"[4, 50, 53]"
"scenario3","depot_3_route_51",76.157731,0.506875,"[2, 39]"
"scenario3","depot_9_route_52",157.700440,0.506875,"[8, 33, 85]"
"scenario3","depot_5_route_53",84.023806,0.506875,"[4, 63]"
"scenario3","depot_2_route_54",171.038774,0.506875,"[1, 65, 91]"
"scenario3","depot_1_route_55",184.561036,0.506875,"[0, 19, 92]"
"scenario3","depot_5_route_56",102.489024,0.506875,"[4, 80]"
"scenario3","depot_2_route_57",117.388245,0.506875,"[1, 78]"
"scenario3","depot_6_route_58",138.852440,0.506875,"[5, 101]"
"scenario3","depot_5_route_59",152.118375,0.506875,"[4, 75]"
