scenario,test_name,total_distance,runtime_ms,tours
"scenario2","depot_6_route_1",7.211103,20.424740,"[5, 67]"
"scenario2","depot_10_route_2",8.000000,20.424740,"[9, 68]"
"scenario2","depot_9_route_3",10.198039,20.424740,"[8, 33]"
"scenario2","depot_7_route_4",11.313708,20.424740,"[6, 14]"
"scenario2","depot_6_route_5",12.649111,20.424740,"[5, 65]"
"scenario2","depot_4_route_6",14.142136,20.424740,"[3, 63]"
"scenario2","depot_4_route_7",76.940848,20.424740,"[3, 22, 97, 45, 90]"
"scenario2","depot_8_route_8",58.320532,20.424740,"[7, 81, 19, 91]"
"scenario2","depot_7_route_9",39.288983,20.424740,"[6, 28, 56]"
"scenario2","depot_1_route_10",20.000000,20.424740,"[0, 57]"
"scenario2","depot_2_route_11",66.790273,20.424740,"[1, 41, 109, 49]"
"scenario2","depot_2_route_12",73.482962,20.424740,"[1, 40, 39, 59]"
"scenario2","depot_6_route_13",49.351749,20.424740,"[5, 86, 92]"
"scenario2","depot_8_route_14",26.076810,20.424740,"[7, 108]"
"scenario2","depot_1_route_15",28.284271,20.424740,"[0, 73]"
"scenario2","depot_10_route_16",87.347152,20.424740,"[9, 77, 16, 87]"
"scenario2","depot_2_route_17",88.084398,20.424740,"[1, 23, 98, 93]"
"scenario2","depot_3_route_18",94.846265,20.424740,"[2, 25, 11, 107]"
"scenario2","depot_5_route_19",31.622777,20.424740,"[4, 43]"
"scenario2","depot_4_route_20",64.410577,20.424740,"[3, 34, 38]"
"scenario2","depot_2_route_21",32.310989,20.424740,"[1, 99]"
"scenario2","depot_7_route_22",134.938205,20.424740,"[6, 102, 62, 69, 35]"
"scenario2","depot_2_route_23",136.550094,20.424740,"[1, 66, 82, 79, 70]"
"scenario2","depot_7_route_24",149.394795,20.424740,"[6, 58, 103, 54, 106]"
"scenario2","depot_6_route_25",79.756795,20.424740,"[5, 52, 76]"
"scenario2","depot_6_route_26",80.427032,20.424740,"[5, 12, 104]"
"scenario2","depot_10_route_27",123.323135,20.424740,"[9, 17, 53, 36]"
"scenario2","depot_7_route_28",82.424893,20.424740,"[6, 44, 71]"
"scenario2","depot_2_route_29",131.534301,20.424740,"[1, 20, 72, 88]"
"scenario2","depot_8_route_30",45.650849,20.424740,"[7, 64]"
"scenario2","depot_5_route_31",187.975844,20.424740,"[4, 94, 24, 89, 100]"
"scenario2","depot_2_route_32",204.882804,20.424740,"[1, 37, 29, 26, 105]"
"scenario2","depot_7_route_33",204.938385,20.424740,"[6, 27, 47, 74, 96]"
"scenario2","depot_3_route_34",206.401290,20.424740,"[2, 15, 50, 46, 101]"
"scenario2","depot_5_route_35",115.341394,20.424740,"[4, 42, 95]"
"scenario2","depot_7_route_36",254.158212,20.424740,"[6, 18, 51, 21, 48]"
"scenario2","depot_4_route_37",64.031242,20.424740,"[3, 30]"
"scenario2","depot_2_route_38",232.439460,20.424740,"[1, 10, 32, 84]"
"scenario2","depot_7_route_39",244.034213,20.424740,"[6, 31, 83, 75]"
"scenario2","depot_2_route_40",205.462374,20.424740,"[1, 80, 85]"
"scenario2","depot_6_route_41",108.461975,20.424740,"[5, 13]"
"scenario2","depot_7_route_42",220.582087,20.424740,"[6, 61, 78]"
"scenario2","depot_5_route_43",126.649122,20.424740,"[4, 55]"
"scenario2","depot_7_route_44",230.824609,20.424740,"[6, 60]"
